,svc_name,my_span_id,parent_span_id,trace_id,cluster_id,load,last_load,avg_load,rps,st,et,rt,xt,ct,child_spans,critical_child_spans,call_size,depth
101,ratings-v1,0bd216d7,56b26b10,dfce7901db7419fac0e495e50153f15d,0,1,1,1,0,20,22,2,2,2,[],[],30,3
102,productpage-v1,c0e495e5,,dfce7901db7419fac0e495e50153f15d,0,3,3,3,0,0,39,39,28,28,"[<span.Span object at 0x7f2f35801700>, <span.Span object at 0x7f2f35801160>]","[<span.Span object at 0x7f2f35801160>, <span.Span object at 0x7f2f35801700>]",10,1
103,reviews-v3,56b26b10,c0e495e5,dfce7901db7419fac0e495e50153f15d,0,1,1,1,0,18,27,9,7,7,[<span.Span object at 0x7f2f35801610>],[<span.Span object at 0x7f2f35801610>],20,2
104,productpage-v1,e714b3b8,,5686dad0295df25ce714b3b81218e990,0,4,2,3,0,0,38,38,30,30,"[<span.Span object at 0x7f2f35874be0>, <span.Span object at 0x7f2f35874c70>]","[<span.Span object at 0x7f2f35874be0>, <span.Span object at 0x7f2f35874c70>]",10,1
105,reviews-v3,b08f4f5a,e714b3b8,5686dad0295df25ce714b3b81218e990,0,3,1,2,0,27,31,4,3,3,[<span.Span object at 0x7f2f35874c10>],[<span.Span object at 0x7f2f35874c10>],20,2
106,details-v1,a0e41aed,e714b3b8,5686dad0295df25ce714b3b81218e990,0,1,1,1,0,14,18,4,4,4,[],[],20,2
107,ratings-v1,e4cc6327,b08f4f5a,5686dad0295df25ce714b3b81218e990,0,1,1,1,0,29,30,1,1,1,[],[],30,3
108,productpage-v1,7455a06e,,f3e2cd1b9f7887037455a06ece55a67e,0,4,3,3,0,0,36,36,27,27,"[<span.Span object at 0x7f2f35868df0>, <span.Span object at 0x7f2f35868d00>]","[<span.Span object at 0x7f2f35868df0>, <span.Span object at 0x7f2f35868d00>]",10,1
109,reviews-v3,9113072f,7455a06e,f3e2cd1b9f7887037455a06ece55a67e,0,2,2,2,0,25,31,6,5,5,[<span.Span object at 0x7f2f35868cd0>],[<span.Span object at 0x7f2f35868cd0>],20,2
110,details-v1,ad35ca14,7455a06e,f3e2cd1b9f7887037455a06ece55a67e,0,1,1,1,0,15,18,3,3,3,[],[],20,2
111,ratings-v1,d54a08fb,9113072f,f3e2cd1b9f7887037455a06ece55a67e,0,1,1,1,0,28,29,1,1,1,[],[],30,3
112,productpage-v1,5deb4899,,4f4277ef30bf783c5deb4899d529375b,0,4,3,3,0,0,48,48,39,39,"[<span.Span object at 0x7f2f35868af0>, <span.Span object at 0x7f2f35868a00>]","[<span.Span object at 0x7f2f35868af0>, <span.Span object at 0x7f2f35868a00>]",10,1
113,reviews-v3,c438914d,5deb4899,4f4277ef30bf783c5deb4899d529375b,0,2,1,1,0,32,39,7,6,6,[<span.Span object at 0x7f2f358689d0>],[<span.Span object at 0x7f2f358689d0>],20,2
114,details-v1,f3251c0b,5deb4899,4f4277ef30bf783c5deb4899d529375b,0,1,1,1,0,15,17,2,2,2,[],[],20,2
115,ratings-v1,0d3e9fed,c438914d,4f4277ef30bf783c5deb4899d529375b,0,1,1,1,0,35,36,1,1,1,[],[],30,3
116,productpage-v1,c5f8401a,,1eb60512b8b88e79c5f8401a8512bbd2,0,3,3,3,0,0,38,38,22,22,"[<span.Span object at 0x7f2f35850400>, <span.Span object at 0x7f2f358503d0>]","[<span.Span object at 0x7f2f35850400>, <span.Span object at 0x7f2f358503d0>]",10,1
117,reviews-v3,086044a5,c5f8401a,1eb60512b8b88e79c5f8401a8512bbd2,0,2,1,1,0,20,29,9,5,5,[<span.Span object at 0x7f2f35850430>],[<span.Span object at 0x7f2f35850430>],20,2
118,details-v1,35c8c215,c5f8401a,1eb60512b8b88e79c5f8401a8512bbd2,0,1,1,1,0,7,14,7,7,7,[],[],20,2
119,ratings-v1,66b161bc,086044a5,1eb60512b8b88e79c5f8401a8512bbd2,0,1,1,1,0,23,27,4,4,4,[],[],30,3
120,reviews-v3,865fefa5,89c8c462,1cd6047db262afa489c8c462a0ad988c,0,2,1,1,0,20,24,4,3,3,[<span.Span object at 0x7f2f358abd00>],[<span.Span object at 0x7f2f358abd00>],20,2
121,details-v1,a75ab917,89c8c462,1cd6047db262afa489c8c462a0ad988c,0,1,1,1,0,11,14,3,3,3,[],[],20,2
122,ratings-v1,2f89707a,865fefa5,1cd6047db262afa489c8c462a0ad988c,0,1,1,1,0,22,23,1,1,1,[],[],30,3
123,productpage-v1,89c8c462,,1cd6047db262afa489c8c462a0ad988c,0,3,2,2,0,0,27,27,20,20,"[<span.Span object at 0x7f2f358abd90>, <span.Span object at 0x7f2f358abdf0>]","[<span.Span object at 0x7f2f358abd90>, <span.Span object at 0x7f2f358abdf0>]",10,1
124,details-v1,aca995e2,c0a4cae2,ac81f88bf41dfc2ac0a4cae2fb729382,0,1,1,1,0,12,14,2,2,2,[],[],20,2
125,ratings-v1,2878082f,55c356e6,ac81f88bf41dfc2ac0a4cae2fb729382,0,1,1,1,0,27,28,1,1,1,[],[],30,3
126,productpage-v1,c0a4cae2,,ac81f88bf41dfc2ac0a4cae2fb729382,0,4,3,3,0,0,33,33,26,26,"[<span.Span object at 0x7f2f3589ef10>, <span.Span object at 0x7f2f3589ee50>]","[<span.Span object at 0x7f2f3589ee50>, <span.Span object at 0x7f2f3589ef10>]",10,1
127,reviews-v3,55c356e6,c0a4cae2,ac81f88bf41dfc2ac0a4cae2fb729382,0,2,1,1,0,24,29,5,4,4,[<span.Span object at 0x7f2f3589ef70>],[<span.Span object at 0x7f2f3589ef70>],20,2
128,reviews-v3,de8c550f,fb0c7d72,8a9fb9b43b687ef6fb0c7d72ba4f3228,0,2,1,1,0,17,24,7,6,6,[<span.Span object at 0x7f2f35886850>],[<span.Span object at 0x7f2f35886850>],20,2
129,details-v1,2dd2dc63,fb0c7d72,8a9fb9b43b687ef6fb0c7d72ba4f3228,0,1,1,1,0,9,12,3,3,3,[],[],20,2
130,ratings-v1,0e76c5f1,de8c550f,8a9fb9b43b687ef6fb0c7d72ba4f3228,0,1,1,1,0,20,21,1,1,1,[],[],30,3
